Designator,Mid X,Mid Y,Layer,Rotation
BT1,135.949084,-109.512287,Bottom,-90
C1,152.791884,-95.237487,Bottom,180
C2,152.7836,-94.0054,Bottom,180
C3,155.3644,-91.8464,Bottom,180
J1,147.990684,-85.966487,Bottom,-120
R1,130.236084,-83.477287,Bottom,120
R2,128.991484,-84.137687,Bottom,120
R3,127.746884,-84.823487,Bottom,120
R4,126.502284,-85.509287,Bottom,120
R5,125.308484,-86.195087,Bottom,120
R6,155.3444,-92.8878,Bottom,180
R7,155.3444,-95.237487,Bottom,0
R8,155.3444,-94.1578,Bottom,0
SW1,117.807884,-98.400487,Bottom,90
SW2,136.103484,-78.219487,Bottom,0
U1,152.777084,-100.774687,Bottom,180
D1,136.306684,-76.390687,Top,180
D2,128.614289,-79.553037,Top,-150
D3,124.368684,-82.131087,Top,-150
D4,120.076084,-84.696487,Top,-150
D5,115.427884,-93.180087,Top,90
D6,115.453284,-98.641087,Top,90
D7,115.554884,-104.914887,Top,90
D8,120.279284,-114.211287,Top,150
D9,125.054484,-117.081487,Top,150
D10,129.855084,-119.900887,Top,150
D11,143.621884,-79.641887,Top,150
D12,148.574884,-82.562887,Top,150
D13,153.045284,-85.179087,Top,150
D14,156.829884,-93.154687,Top,90
D15,156.906084,-98.539487,Top,90
D16,156.880684,-104.889487,Top,90
D17,152.715084,-113.779487,Top,-150
D18,147.609684,-116.903687,Top,-150
D19,142.656684,-119.672287,Top,-150
D20,136.306684,-122.517087,Top,180
G***,136.083949,-98.299982,Top,0
J2,135.951084,-107.840624,Top,0
